ID do canal,URL do canal,Título do canal
UC033rpv7OKk-QYfrvwl5s8Q,http://www.youtube.com/channel/UC033rpv7OKk-QYfrvwl5s8Q,TV Quase
UC0GUaQ6lVzvu0FWklbsKFhg,http://www.youtube.com/channel/UC0GUaQ6lVzvu0FWklbsKFhg,BAROLO VÍDEOS
UC1_uAIS3r8Vu6JjXWvastJg,http://www.youtube.com/channel/UC1_uAIS3r8Vu6JjXWvastJg,Mathologer
UC2-hKemnrmVCH_29duyJ26A,http://www.youtube.com/channel/UC2-hKemnrmVCH_29duyJ26A,Lander Analytics
UC21w6azFCeU9gOo8AU3pVIw,http://www.youtube.com/channel/UC21w6azFCeU9gOo8AU3pVIw,Liliana Blanco
UC2mfXEhRBwEj7BuG_zplziw,http://www.youtube.com/channel/UC2mfXEhRBwEj7BuG_zplziw,Ócio Rock
UC3xfbCMLCw1Hh4dWop3XtHg,http://www.youtube.com/channel/UC3xfbCMLCw1Hh4dWop3XtHg,Posit PBC
UC4aiJNDUviw_vMhdCq5Kq1Q,http://www.youtube.com/channel/UC4aiJNDUviw_vMhdCq5Kq1Q,Cortes do Casimito [OFICIAL]
UC4jROkPjTvnXRkuo2GAwKXw,http://www.youtube.com/channel/UC4jROkPjTvnXRkuo2GAwKXw,EstaTiDados
UC5ehmnZPpEvSJcFqAG95R0A,http://www.youtube.com/channel/UC5ehmnZPpEvSJcFqAG95R0A,BDV Football
UC5elvYBuZz5qFdq7XTBk1uw,http://www.youtube.com/channel/UC5elvYBuZz5qFdq7XTBk1uw,Cleiton M. Loura
UC5yS6v2umoIXx8TSJsUEBKg,http://www.youtube.com/channel/UC5yS6v2umoIXx8TSJsUEBKg,Building Nubank
UC640y4UvDAlya_WOj5U4pfA,http://www.youtube.com/channel/UC640y4UvDAlya_WOj5U4pfA,nptelhrd
UC6oOZZrQwJpOkra-QSGy3GA,http://www.youtube.com/channel/UC6oOZZrQwJpOkra-QSGy3GA,Prof. Ryan C. Cooper
UC7DdEm33SyaTDtWYGO2CwdA,http://www.youtube.com/channel/UC7DdEm33SyaTDtWYGO2CwdA,Physics Girl
UC8butISFwT-Wl7EV0hUK0BQ,http://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org
UC9IuUwwE2xdjQUT_LMLONoA,http://www.youtube.com/channel/UC9IuUwwE2xdjQUT_LMLONoA,The Julia Programming Language
UC9U4nIDyIzzelXrjNQXNvxA,http://www.youtube.com/channel/UC9U4nIDyIzzelXrjNQXNvxA,Pânico Jovem Pan
UC9XGTMuFhAijq1JHGUUFzig,http://www.youtube.com/channel/UC9XGTMuFhAijq1JHGUUFzig,The White Buffalo
UCAaKeg-BocRqphErdtIUFFw,http://www.youtube.com/channel/UCAaKeg-BocRqphErdtIUFFw,Eduardo Mendes
UCBL2tfrwhEhX52Dze_aO3zA,http://www.youtube.com/channel/UCBL2tfrwhEhX52Dze_aO3zA,UNIVESP
UCBQhHragJQAbenC3iBIOJ5Q,http://www.youtube.com/channel/UCBQhHragJQAbenC3iBIOJ5Q,Oc3
UCBV194XNr6CIQCCuw1v2rMQ,http://www.youtube.com/channel/UCBV194XNr6CIQCCuw1v2rMQ,Dataslice
UCDvErgK0j5ur3aLgn6U-LqQ,http://www.youtube.com/channel/UCDvErgK0j5ur3aLgn6U-LqQ,DataTalksClub ⬛
UCEBb1b_L6zDS3xTUrIALZOw,http://www.youtube.com/channel/UCEBb1b_L6zDS3xTUrIALZOw,MIT OpenCourseWare
UCEf6TuWqoxOPSsB7Aw2bkAg,http://www.youtube.com/channel/UCEf6TuWqoxOPSsB7Aw2bkAg,The White Buffalo Brasil
UCFmQEHWtZ9updEW7vgtqyxA,http://www.youtube.com/channel/UCFmQEHWtZ9updEW7vgtqyxA,Mazin Silva
UCGIB72qWUzsGzPmIO8LFT_Q,http://www.youtube.com/channel/UCGIB72qWUzsGzPmIO8LFT_Q,Aaron Roth
UCGWZY-0pONnKmF98dhZy9CQ,http://www.youtube.com/channel/UCGWZY-0pONnKmF98dhZy9CQ,Stephane Maarek
UCHKSayVT2Ks-gQBXmMLGTag,http://www.youtube.com/channel/UCHKSayVT2Ks-gQBXmMLGTag,Soundgarden
UCHc7ICbMq7vwaToJQeEtnrA,http://www.youtube.com/channel/UCHc7ICbMq7vwaToJQeEtnrA,AudioslaveVEVO
UCHnyfMqiRRG1u-2MsSQLbXA,http://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium
UCIuoo_GsrOcDx-N3y4w8cvw,http://www.youtube.com/channel/UCIuoo_GsrOcDx-N3y4w8cvw,Forecastegy
UCJnKVGmXRXrH49Tvrx5X0Sw,http://www.youtube.com/channel/UCJnKVGmXRXrH49Tvrx5X0Sw,LINUXtips
UCJquYOG5EL82sKTfH9aMA9Q,http://www.youtube.com/channel/UCJquYOG5EL82sKTfH9aMA9Q,Rick Beato
UCK5G-rUDSKKUXeMkrL7Bs1w,http://www.youtube.com/channel/UCK5G-rUDSKKUXeMkrL7Bs1w,The Charismatic Voice
